lineNumber	Ticker	Name	CIK	Year	CompetitorName	CompetitorTicker	CompetitorCIK
30	CHRS	COHERUS BIOSCIENCES INC	19353	2007	Wilmington	WMRIX	830744
31	CHRS	COHERUS BIOSCIENCES INC	19353	2006	Wilmington	WMRIX	830744
41	LLY	ELI LILLY & CO	59478	2015	ACA	ACA	1739445
41	LLY	ELI LILLY & CO	59478	2015	Congress	CMLIX	811030
41	LLY	ELI LILLY & CO	59478	2015	Development	CDEV	1658566
42	LLY	ELI LILLY & CO	59478	2014	MCO	MCO	1059556
42	LLY	ELI LILLY & CO	59478	2014	Lilly	LLY	59478
42	LLY	ELI LILLY & CO	59478	2014	Novartis	NVS	1114448
43	LLY	ELI LILLY & CO	59478	2013	FDA	FDAGX	320351
43	LLY	ELI LILLY & CO	59478	2013	Lilly	LLY	59478
44	LLY	ELI LILLY & CO	59478	2012	FDA	FDAGX	320351
44	LLY	ELI LILLY & CO	59478	2012	Lilly	LLY	59478
45	LLY	ELI LILLY & CO	59478	2011	FDA	FDAGX	320351
45	LLY	ELI LILLY & CO	59478	2011	Lilly	LLY	59478
45	LLY	ELI LILLY & CO	59478	2011	nnn	NNN	751364
46	LLY	ELI LILLY & CO	59478	2010	FDA	FDAGX	320351
46	LLY	ELI LILLY & CO	59478	2010	Lilly	LLY	59478
46	LLY	ELI LILLY & CO	59478	2010	Congress	CMLIX	811030
46	LLY	ELI LILLY & CO	59478	2010	nnn	NNN	751364
47	LLY	ELI LILLY & CO	59478	2009	FDA	FDAGX	320351
47	LLY	ELI LILLY & CO	59478	2009	Congress	CMLIX	811030
47	LLY	ELI LILLY & CO	59478	2009	Lilly	LLY	59478
47	LLY	ELI LILLY & CO	59478	2009	Office	ODP	800240
48	LLY	ELI LILLY & CO	59478	2008	FDA	FDAGX	320351
48	LLY	ELI LILLY & CO	59478	2008	"Trademarks,n    "	NFLX	1065280
48	LLY	ELI LILLY & CO	59478	2008	"ItemI,n    "	NFLX	1065280
48	LLY	ELI LILLY & CO	59478	2008	"Evista,n    "	NFLX	1065280
48	LLY	ELI LILLY & CO	59478	2008	Lilly	LLY	59478
48	LLY	ELI LILLY & CO	59478	2008	"Analysis Legal and Regulatory Matters,n"	NFLX	1065280
48	LLY	ELI LILLY & CO	59478	2008	"Item7,n    "	NFLX	1065280
48	LLY	ELI LILLY & CO	59478	2008	nnn	NNN	751364
49	LLY	ELI LILLY & CO	59478	2007	FDA	FDAGX	320351
49	LLY	ELI LILLY & CO	59478	2007	Lilly	LLY	59478
49	LLY	ELI LILLY & CO	59478	2007	"Item7,n    "	NFLX	1065280
49	LLY	ELI LILLY & CO	59478	2007	nnn	NNN	751364
50	LLY	ELI LILLY & CO	59478	2006	FDA	FDAGX	320351
50	LLY	ELI LILLY & CO	59478	2006	Lilly	LLY	59478
50	LLY	ELI LILLY & CO	59478	2006	"Item1,n    "	NFLX	1065280
50	LLY	ELI LILLY & CO	59478	2006	"Item7,n    "	NFLX	1065280
50	LLY	ELI LILLY & CO	59478	2006	nnn	NNN	751364
51	LLY	ELI LILLY & CO	59478	2005	"Item1,n    "	NFLX	1065280
51	LLY	ELI LILLY & CO	59478	2005	"Item7,n    "	NFLX	1065280
61	PFE	PFIZER INC	78003	2017	HIS	HSGX	1372299
61	PFE	PFIZER INC	78003	2017	FDA	FDAGX	320351
61	PFE	PFIZER INC	78003	2017	Pfizer	PFE	78003
61	PFE	PFIZER INC	78003	2017	Johnson & Johnson	JNJ	200406
61	PFE	PFIZER INC	78003	2017	"Teva Pharmaceuticals USA, Inc."	TSLA	1318605
61	PFE	PFIZER INC	78003	2017	Alliance	WBA	1618921
61	PFE	PFIZER INC	78003	2017	ACA	ACA	1739445
61	PFE	PFIZER INC	78003	2017	Consumer Healthcare	PBH	1295947
61	PFE	PFIZER INC	78003	2017	Meridian	EBSB	1411974
61	PFE	PFIZER INC	78003	2017	Pfizer Inc.	PFE	78003
61	PFE	PFIZER INC	78003	2017	Healthcare	THC	70318
61	PFE	PFIZER INC	78003	2017	Congress	CMLIX	811030
61	PFE	PFIZER INC	78003	2017	DEA	DEA	1622194
61	PFE	PFIZER INC	78003	2017	EMA	EMAN	1046995
61	PFE	PFIZER INC	78003	2017	FCPA	FCPAX	729218
62	PFE	PFIZER INC	78003	2016	FDA	FDAGX	320351
62	PFE	PFIZER INC	78003	2016	Alliance	WBA	1618921
62	PFE	PFIZER INC	78003	2016	ACA	ACA	1739445
62	PFE	PFIZER INC	78003	2016	Pfizer	PFE	78003
62	PFE	PFIZER INC	78003	2016	Consumer Healthcare	PBH	1295947
62	PFE	PFIZER INC	78003	2016	Healthcare	THC	70318
62	PFE	PFIZER INC	78003	2016	Congress	CMLIX	811030
62	PFE	PFIZER INC	78003	2016	DEA	DEA	1622194
62	PFE	PFIZER INC	78003	2016	FCPA	FCPAX	729218
63	PFE	PFIZER INC	78003	2015	Outlook	OTLK	1649989
63	PFE	PFIZER INC	78003	2015	Form	FORM	1039399
63	PFE	PFIZER INC	78003	2015	Pfizer Inc.	PFE	78003
63	PFE	PFIZER INC	78003	2015	FDA	FDAGX	320351
63	PFE	PFIZER INC	78003	2015	Alliance	WBA	1618921
63	PFE	PFIZER INC	78003	2015	ACA	ACA	1739445
63	PFE	PFIZER INC	78003	2015	VOC	VOC	1505413
63	PFE	PFIZER INC	78003	2015	Consumer Healthcare	PBH	1295947
63	PFE	PFIZER INC	78003	2015	Pfizer	PFE	78003
63	PFE	PFIZER INC	78003	2015	Healthcare	THC	70318
63	PFE	PFIZER INC	78003	2015	Congress	CMLIX	811030
63	PFE	PFIZER INC	78003	2015	DEA	DEA	1622194
63	PFE	PFIZER INC	78003	2015	FCPA	FCPAX	729218
63	PFE	PFIZER INC	78003	2015	Allergan	AGN	1578845
64	PFE	PFIZER INC	78003	2014	Form	FORM	1039399
64	PFE	PFIZER INC	78003	2014	MMA	MMAC	1003201
64	PFE	PFIZER INC	78003	2014	ACA	ACA	1739445
64	PFE	PFIZER INC	78003	2014	Congress	CMLIX	811030
64	PFE	PFIZER INC	78003	2014	FDA	FDAGX	320351
64	PFE	PFIZER INC	78003	2014	Alliance	WBA	1618921
64	PFE	PFIZER INC	78003	2014	Amgen Inc.	AMGN	318154
64	PFE	PFIZER INC	78003	2014	Amgen	AMGN	318154
64	PFE	PFIZER INC	78003	2014	"Development, Regulatory Approval"	CDEV	1658566
64	PFE	PFIZER INC	78003	2014	Consumer Healthcare	PBH	1295947
64	PFE	PFIZER INC	78003	2014	CRO	CRON	1656472
64	PFE	PFIZER INC	78003	2014	Pfizer	PFE	78003
64	PFE	PFIZER INC	78003	2014	"the U.S. Federal Food, Drug"	CJJD	1413263
64	PFE	PFIZER INC	78003	2014	FCPA	FCPAX	729218
64	PFE	PFIZER INC	78003	2014	CIA	CIA	24090
65	PFE	PFIZER INC	78003	2013	MD&A	MD	893949
65	PFE	PFIZER INC	78003	2013	ACA	ACA	1739445
65	PFE	PFIZER INC	78003	2013	Congress	CMLIX	811030
65	PFE	PFIZER INC	78003	2013	MMA	MMAC	1003201
65	PFE	PFIZER INC	78003	2013	FDA	FDAGX	320351
65	PFE	PFIZER INC	78003	2013	Alliance	WBA	1618921
65	PFE	PFIZER INC	78003	2013	Eisai	ESALY	948406
65	PFE	PFIZER INC	78003	2013	Amgen Inc.	AMGN	318154
65	PFE	PFIZER INC	78003	2013	Amgen	AMGN	318154
65	PFE	PFIZER INC	78003	2013	"Development, Regulatory Approval"	CDEV	1658566
65	PFE	PFIZER INC	78003	2013	CFDA	CFDAX	1464413
65	PFE	PFIZER INC	78003	2013	Consumer Healthcare	PBH	1295947
65	PFE	PFIZER INC	78003	2013	CRO	CRON	1656472
65	PFE	PFIZER INC	78003	2013	Pfizer	PFE	78003
65	PFE	PFIZER INC	78003	2013	"the U.S. Federal Food, Drug"	CJJD	1413263
65	PFE	PFIZER INC	78003	2013	CIA	CIA	24090
65	PFE	PFIZER INC	78003	2013	DPA	DPAT	1103017
66	PFE	PFIZER INC	78003	2012	MD&A	MD	893949
66	PFE	PFIZER INC	78003	2012	ACA	ACA	1739445
66	PFE	PFIZER INC	78003	2012	Congress	CMLIX	811030
66	PFE	PFIZER INC	78003	2012	MMA	MMAC	1003201
66	PFE	PFIZER INC	78003	2012	FDA	FDAGX	320351
66	PFE	PFIZER INC	78003	2012	Alliance	WBA	1618921
66	PFE	PFIZER INC	78003	2012	Eisai	ESALY	948406
66	PFE	PFIZER INC	78003	2012	Amgen Inc.	AMGN	318154
66	PFE	PFIZER INC	78003	2012	Amgen	AMGN	318154
66	PFE	PFIZER INC	78003	2012	"Development, Regulatory Approval"	CDEV	1658566
66	PFE	PFIZER INC	78003	2012	Consumer Healthcare	PBH	1295947
66	PFE	PFIZER INC	78003	2012	Pfizer	PFE	78003
66	PFE	PFIZER INC	78003	2012	"the U.S. Federal Food, Drug"	CJJD	1413263
66	PFE	PFIZER INC	78003	2012	CIA	CIA	24090
66	PFE	PFIZER INC	78003	2012	DPA	DPAT	1103017
67	PFE	PFIZER INC	78003	2011	Congress	CMLIX	811030
67	PFE	PFIZER INC	78003	2011	ACA	ACA	1739445
67	PFE	PFIZER INC	78003	2011	MMA	MMAC	1003201
67	PFE	PFIZER INC	78003	2011	FDA	FDAGX	320351
67	PFE	PFIZER INC	78003	2011	"product,nGenotropin"	EPD	1061219
67	PFE	PFIZER INC	78003	2011	"the U.S. Federal Food, Drug"	CJJD	1413263
67	PFE	PFIZER INC	78003	2011	Pfizer	PFE	78003
67	PFE	PFIZER INC	78003	2011	MD&A	MD	893949
67	PFE	PFIZER INC	78003	2011	Consumer Healthcare	PBH	1295947
67	PFE	PFIZER INC	78003	2011	Products	EPD	1061219
67	PFE	PFIZER INC	78003	2011	Oncology	CLVS	1466301
67	PFE	PFIZER INC	78003	2011	Outlook  	OTLK	1649989
67	PFE	PFIZER INC	78003	2011	"King Pharmaceuticals, Inc."	TSLA	1318605
68	PFE	PFIZER INC	78003	2010	Healthcare	THC	70318
68	PFE	PFIZER INC	78003	2010	ACA	ACA	1739445
68	PFE	PFIZER INC	78003	2010	Congress	CMLIX	811030
68	PFE	PFIZER INC	78003	2010	FDA	FDAGX	320351
68	PFE	PFIZER INC	78003	2010	Biopharmaceutical	INNT	1551986
68	PFE	PFIZER INC	78003	2010	Company	BA	12927
68	PFE	PFIZER INC	78003	2010	"the U.S. Federal Food, Drug"	CJJD	1413263
68	PFE	PFIZER INC	78003	2010	Consumer Healthcare	PBH	1295947
68	PFE	PFIZER INC	78003	2010	Education	EDU	1372920
69	PFE	PFIZER INC	78003	2009	Congress	CMLIX	811030
69	PFE	PFIZER INC	78003	2009	FDA	FDAGX	320351
69	PFE	PFIZER INC	78003	2009	Biopharmaceutical	INNT	1551986
69	PFE	PFIZER INC	78003	2009	Company	BA	12927
69	PFE	PFIZER INC	78003	2009	"the U.S. Federal Food, Drug"	CJJD	1413263
69	PFE	PFIZER INC	78003	2009	Animal Health	ELAN	1739104
69	PFE	PFIZER INC	78003	2009	Consumer Healthcare	PBH	1295947
70	PFE	PFIZER INC	78003	2008	FDA	FDAGX	320351
70	PFE	PFIZER INC	78003	2008	Pharmaceutical	TEVA	818686
70	PFE	PFIZER INC	78003	2008	Company	BA	12927
70	PFE	PFIZER INC	78003	2008	EC	EC	1444406
71	PFE	PFIZER INC	78003	2007	Form	FORM	1039399
71	PFE	PFIZER INC	78003	2007	Consumer Healthcare	PBH	1295947
71	PFE	PFIZER INC	78003	2007	FDA	FDAGX	320351
71	PFE	PFIZER INC	78003	2007	Pharmaceutical	TEVA	818686
71	PFE	PFIZER INC	78003	2007	Company	BA	12927
72	PFE	PFIZER INC	78003	2006	FDA	FDAGX	320351
72	PFE	PFIZER INC	78003	2006	Pharmaceutical	TEVA	818686
72	PFE	PFIZER INC	78003	2006	Company	BA	12927
73	PFE	PFIZER INC	78003	2005	FDA	FDAGX	320351
73	PFE	PFIZER INC	78003	2005	Company	BA	12927
73	PFE	PFIZER INC	78003	2005	Consumer Healthcare	PBH	1295947
84	JNJ	JOHNSON & JOHNSON	200406	2017	JOHNSON & JOHNSON	JNJ	200406
84	JNJ	JOHNSON & JOHNSON	200406	2017	Company	BA	12927
84	JNJ	JOHNSON & JOHNSON	200406	2017	Johnson & Johnson	JNJ	200406
84	JNJ	JOHNSON & JOHNSON	200406	2017	FDA	FDAGX	320351
84	JNJ	JOHNSON & JOHNSON	200406	2017	ANDA	ANDA	1691936
84	JNJ	JOHNSON & JOHNSON	200406	2017	"the Federal Food, Drug"	CJJD	1413263
85	JNJ	JOHNSON & JOHNSON	200406	2017	JOHNSON & JOHNSON	JNJ	200406
85	JNJ	JOHNSON & JOHNSON	200406	2017	Company	BA	12927
85	JNJ	JOHNSON & JOHNSON	200406	2017	FDA	FDAGX	320351
85	JNJ	JOHNSON & JOHNSON	200406	2017	Pfizer Inc.	PFE	78003
85	JNJ	JOHNSON & JOHNSON	200406	2017	Johnson & Johnson	JNJ	200406
85	JNJ	JOHNSON & JOHNSON	200406	2017	ANDA	ANDA	1691936
85	JNJ	JOHNSON & JOHNSON	200406	2017	"the Federal Food, Drug"	CJJD	1413263
86	JNJ	JOHNSON & JOHNSON	200406	2016	JOHNSON & JOHNSON	JNJ	200406
87	JNJ	JOHNSON & JOHNSON	200406	2014	JOHNSON & JOHNSON	JNJ	200406
88	JNJ	JOHNSON & JOHNSON	200406	2013	JOHNSON & JOHNSON	JNJ	200406
89	JNJ	JOHNSON & JOHNSON	200406	2012	JOHNSON & JOHNSON	JNJ	200406
90	JNJ	JOHNSON & JOHNSON	200406	2012	JOHNSON & JOHNSON	JNJ	200406
91	JNJ	JOHNSON & JOHNSON	200406	2011	JOHNSON & JOHNSON	JNJ	200406
92	JNJ	JOHNSON & JOHNSON	200406	2010	JOHNSON & JOHNSON	JNJ	200406
93	JNJ	JOHNSON & JOHNSON	200406	2008	JOHNSON & JOHNSON	JNJ	200406
94	JNJ	JOHNSON & JOHNSON	200406	2007	JOHNSON & JOHNSON	JNJ	200406
95	JNJ	JOHNSON & JOHNSON	200406	2006	JOHNSON & JOHNSON	JNJ	200406
96	JNJ	JOHNSON & JOHNSON	200406	2006	JOHNSON & JOHNSON	JNJ	200406
97	JNJ	JOHNSON & JOHNSON	200406	2005	JOHNSON & JOHNSON	JNJ	200406
98	JNJ	JOHNSON & JOHNSON	200406	2003	JOHNSON & JOHNSON	JNJ	200406
99	JNJ	JOHNSON & JOHNSON	200406	2002	JOHNSON & JOHNSON	JNJ	200406
100	JNJ	JOHNSON & JOHNSON	200406	2001	JOHNSON & JOHNSON	JNJ	200406
101	JNJ	JOHNSON & JOHNSON	200406	1999	JOHNSON & JOHNSON	JNJ	200406
102	JNJ	JOHNSON & JOHNSON	200406	1994	JOHNSON & JOHNSON	JNJ	200406
103	MRK	MERCK & CO. INC.	310158	2017	Company	BA	12927
103	MRK	MERCK & CO. INC.	310158	2017	FDA	FDAGX	320351
103	MRK	MERCK & CO. INC.	310158	2017	EMA	EMAN	1046995
103	MRK	MERCK & CO. INC.	310158	2017	ii)U.S.	JSGAX	1329954
103	MRK	MERCK & CO. INC.	310158	2017	ACA	ACA	1739445
103	MRK	MERCK & CO. INC.	310158	2017	Merck	MRK	310158
103	MRK	MERCK & CO. INC.	310158	2017	Congress	CMLIX	811030
103	MRK	MERCK & CO. INC.	310158	2017	CMS	CMS	811156
103	MRK	MERCK & CO. INC.	310158	2017	Animal Health	ELAN	1739104
103	MRK	MERCK & CO. INC.	310158	2017	BLA	BX	1393818
104	MRK	MERCK & CO. INC.	310158	2016	Company	BA	12927
104	MRK	MERCK & CO. INC.	310158	2016	FDA	FDAGX	320351
104	MRK	MERCK & CO. INC.	310158	2016	EMA	EMAN	1046995
104	MRK	MERCK & CO. INC.	310158	2016	ii)U.S.	JSGAX	1329954
104	MRK	MERCK & CO. INC.	310158	2016	ACA	ACA	1739445
104	MRK	MERCK & CO. INC.	310158	2016	Congress	CMLIX	811030
104	MRK	MERCK & CO. INC.	310158	2016	CMS	CMS	811156
104	MRK	MERCK & CO. INC.	310158	2016	Merck	MRK	310158
104	MRK	MERCK & CO. INC.	310158	2016	Animal Health	ELAN	1739104
104	MRK	MERCK & CO. INC.	310158	2016	BLA	BX	1393818
105	MRK	MERCK & CO. INC.	310158	2015	Company	BA	12927
105	MRK	MERCK & CO. INC.	310158	2015	FDA	FDAGX	320351
105	MRK	MERCK & CO. INC.	310158	2015	EMA	EMAN	1046995
105	MRK	MERCK & CO. INC.	310158	2015	ii)U.S.	JSGAX	1329954
105	MRK	MERCK & CO. INC.	310158	2015	Congress	CMLIX	811030
105	MRK	MERCK & CO. INC.	310158	2015	Merck	MRK	310158
105	MRK	MERCK & CO. INC.	310158	2015	Animal Health	ELAN	1739104
105	MRK	MERCK & CO. INC.	310158	2015	BLA	BX	1393818
106	MRK	MERCK & CO. INC.	310158	2014	Company	BA	12927
106	MRK	MERCK & CO. INC.	310158	2014	FDA	FDAGX	320351
106	MRK	MERCK & CO. INC.	310158	2014	EC	EC	1444406
106	MRK	MERCK & CO. INC.	310158	2014	EMA	EMAN	1046995
106	MRK	MERCK & CO. INC.	310158	2014	ii)U.S.	JSGAX	1329954
106	MRK	MERCK & CO. INC.	310158	2014	Congress	CMLIX	811030
106	MRK	MERCK & CO. INC.	310158	2014	Merck	MRK	310158
106	MRK	MERCK & CO. INC.	310158	2014	Animal Health	ELAN	1739104
106	MRK	MERCK & CO. INC.	310158	2014	BLA	BX	1393818
107	MRK	MERCK & CO. INC.	310158	2013	Company	BA	12927
107	MRK	MERCK & CO. INC.	310158	2013	FDA	FDAGX	320351
107	MRK	MERCK & CO. INC.	310158	2013	EC	EC	1444406
107	MRK	MERCK & CO. INC.	310158	2013	BLA	BX	1393818
107	MRK	MERCK & CO. INC.	310158	2013	EMA	EMAN	1046995
107	MRK	MERCK & CO. INC.	310158	2013	ii)U.S.	JSGAX	1329954
107	MRK	MERCK & CO. INC.	310158	2013	Congress	CMLIX	811030
107	MRK	MERCK & CO. INC.	310158	2013	Animal Health	ELAN	1739104
107	MRK	MERCK & CO. INC.	310158	2013	Merck	MRK	310158
107	MRK	MERCK & CO. INC.	310158	2013	LDL	LDL	60977
108	MRK	MERCK & CO. INC.	310158	2012	"Merck & Co., Inc."	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	"Astra USA, Inc."	TSLA	1318605
108	MRK	MERCK & CO. INC.	310158	2012	"Astra Merck Enterprises, Inc."	TSLA	1318605
108	MRK	MERCK & CO. INC.	310158	2012	"Merck Holdings, Inc."	TSLA	1318605
108	MRK	MERCK & CO. INC.	310158	2012	"Blue, Inc."	BLUE	1293971
108	MRK	MERCK & CO. INC.	310158	2012	"Purple, Inc."	PRPL	1643953
108	MRK	MERCK & CO. INC.	310158	2012	Merck & Co.	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	Merck& Co.	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	National Association	ZION	109380
108	MRK	MERCK & CO. INC.	310158	2012	The Bank of New York	BK	1390777
108	MRK	MERCK & CO. INC.	310158	2012	The Bank of New York Mellon	BK	1390777
108	MRK	MERCK & CO. INC.	310158	2012	Sharp & Dohme Corp.	SHSP	1506439
108	MRK	MERCK & CO. INC.	310158	2012	Merck &nCo	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	"Merck & Co.,nInc.s Current Report"	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	Merck &nCo.s Form	MRK	310158
108	MRK	MERCK & CO. INC.	310158	2012	"Merck & Co.,nInc.s Form"	MRK	310158
