number,ticker,source,",cik",year,target,cticker,ccik
627,ARQL,ARQULE INC,1019695,2017,Five Prime Therapeutics,FPRX,1175505
627,ARQL,ARQULE INC,1019695,2017,Johnson & Johnson,JNJ,200406
627,ARQL,ARQULE INC,1019695,2017,"Agios Pharmaceuticals, Inc.",AGIO,1439222
627,ARQL,ARQULE INC,1019695,2017,Bristol-Myers Squibb,BMY,14272
627,ARQL,ARQULE INC,1019695,2017,"Spectrum Pharmaceuticals,",SPPI,831547
627,ARQL,ARQULE INC,1019695,2017,Eli Lilly,LLY,59478
627,ARQL,ARQULE INC,1019695,2017,"Rexahn Pharmaceuticals, Inc.",REXN,1228627
627,ARQL,ARQULE INC,1019695,2017,AbbVie,ABBV,1551152
627,ARQL,ARQULE INC,1019695,2017,"Gilead, GlaxoSmithKline",GILD,882095
627,ARQL,ARQULE INC,1019695,2017,Principia Biopharma,PRNB,1510487
647,ANIP,ANI PHARMACEUTICALS INC,1023024,2017,ANI,ANIK,898437
660,MTEX,MANNATECH INC,1056358,2017,GI,GILD,882095
679,UTHR,UNITED THERAPEUTICS CORP,1082554,2017,Lilly,LLY,59478
709,MDCO,MEDICINES COMPANY,1113481,2017,Mylan,MYL,1623613
709,MDCO,MEDICINES COMPANY,1113481,2017,Alnylam,ALNY,1178670
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,AbbVie,ABBV,1551152
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Johnson& Johnsonu00e2u20acu2122s,JNJ,200406
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Conatus,CNAT,1383701
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Galectin,GALT,1133416
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,"Galmed, Gilead, GlaxoSmithKline",GLMD,1595353
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,NGM,NGM,1426332
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Pfizer,PFE,78003
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Viking,VKTX,1607678
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Arena Pharmaceuticals,ARNA,1080709
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,"Cymabay, Durect, Genkyotex",CBAY,1042074
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Ionis,IONS,874015
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Arbutus,ABUS,1447028
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Gilead,GILD,882095
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Johnson & Johnson,JNJ,200406
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Spring Bank,SBPH,1566373
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,Assembly,ASMB,1426800
731,ENTA,ENANTA PHARMACEUTICALS INC,1177648,2017,"Johnson& Johnson, Gilead and ReViral",JNJ,200406
736,MNTA,MOMENTA PHARMACEUTICALS INC,1235010,2017,Pfizer Inc.,PFE,78003
736,MNTA,MOMENTA PHARMACEUTICALS INC,1235010,2017,Mylan N.V.,MYL,1623613
736,MNTA,MOMENTA PHARMACEUTICALS INC,1235010,2017,Mylan,MYL,1623613
763,SUPN,SUPERNUS PHARMACEUTICALS INC,1356576,2017,United Therapeutics Corporation,UTHR,1082554
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,SNS,SNSS,1061027
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,Animal,ELAN,1739104
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,Biologic Products,CBPO,1369868
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,"Pfizer, Inc.",PFE,78003
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,Aptevo Therapeutics Inc.,APVO,1671584
769,EBS,EMERGENT BIOSOLUTIONS INC,1367644,2017,Aptevo,APVO,1671584
